id,older,newer
67505,1922,
67506,1922,
67507,1922,
67508,1890,
67509,1907,
67510,1918,
67511,1881,
67512,1915,
67513,1920,
67514,1924,
67515,1842,
67516,1906,
67517,1900,
67518,1921,
67519,1920,
67520,1924,
67521,1903,
67522,1922,
67523,1910,1923
67524,1809,
67525,1908,
67526,1827,
67527,1850,1868
67528,1912,
67529,1922,
67530,1906,
67531,1923,
67532,1799,
67533,1906,1907
67534,1925,
67535,1915,
67536,1869,
67537,1910,1923
67538,1842,
67539,1892,
67540,1911,
67541,1914,
67542,1919,1942
67543,1890,
67544,1871,1884
67545,1946,
67546,1900,
67547,1904,
67548,1891,
67549,1897,
67550,1915,
67551,1920,
67552,1842,
67553,1856,
67554,1829,
67555,1889,
67556,1904,
67557,1922,
67558,1891,
67559,1894,
67560,1892,
67561,1900,
67562,1864,
67563,1891,
67564,1925,
67565,1915,
67566,1915,
67567,1898,
67568,1923,
67569,1920,
67570,1857,
67571,1956,
67572,1907,
67573,1896,
67574,1909,
67575,1901,
67576,1913,1921
67577,1899,
67578,1914,
67579,1914,
67580,1956,
67581,1920,
67582,1925,
67583,1925,
67584,1913,
67585,1897,
67586,1917,
67587,1956,
67588,1923,
67589,1956,
67590,1914,
67591,1921,
67592,1888,
67593,1905,
67594,1908,
67595,1916,
67596,1910,
67597,1906,
67598,1926,
67599,1918,
67600,1911,
67601,1841,1854
67602,1956,
67603,1956,
67604,1923,
67605,1855,
67606,1900,
67607,1897,
67608,1891,
67609,1895,
67610,1921,
67611,1919,
67612,1722,
67613,1906,
67614,1915,
67615,1914,1915
67616,1926,1954
67617,1914,1915
67618,1914,1915
67619,1910,
67620,1911,
67621,1899,
67622,1925,
67623,1905,
67624,1922,
67625,1913,1917
67626,1878,
67627,1906,
67628,1913,
67629,1883,
67630,1924,
67631,1833,
67632,1896,1907
67633,1920,
67634,1876,
67635,1898,
67636,1851,
67637,1842,
67638,1920,
67639,1910,
67640,1915,
67641,1923,
67642,1911,
67643,1903,
67644,1911,
67645,1909,
67646,1903,
67647,1906,
67648,1913,1914
67649,1919,
67650,1920,
67651,1983,
67652,1953,
67653,1908,
67654,1912,
67655,1921,1948
67656,1915,
67657,1924,
67658,1887,
67659,1892,1896
67660,1921,
67661,1918,
67662,1924,
67663,1912,1913
67664,1897,
67665,1922,
67666,1916,
67667,1922,
67669,1828,
67670,1828,
67671,1889,
67672,1943,
67673,1915,
67674,1908,
67675,1913,
67676,1889,
67677,1926,
67678,1926,
67679,1921,
67680,1924,1952
67681,1858,
67682,1891,
67683,1910,
67684,1850,
67685,1912,
67686,1848,
67687,1889,
67688,1920,
67689,1841,1857
67690,1910,
67691,1879,
67692,1904,
67693,1916,
67694,1926,
67695,1832,
67696,1938,
67697,1918,
67698,1922,
67699,1930,
67700,1923,
67701,1915,
67702,1928,
67703,1906,
67704,1908,
67705,1908,
67706,1919,
67707,1842,
67708,1872,
67709,1894,
67710,1917,
67711,1918,1919
67712,1908,
67713,1908,
67714,1914,
67715,1926,
67716,1896,
67717,1914,
67718,1836,
67719,1918,
67720,1919,
67721,1908,
67722,1902,
67723,1856,
67724,1883,
67725,1883,
67726,1911,
67727,1874,
67728,1922,
67729,1920,
